Município,Área (km²),UF,Região,Microrregião,Lat,Lng,Location,Color,https://www.geosheets.com/map/s:V64O1lbZ/mapa-GO
Montividiu,"1,875",GO,Sul,Sudoeste de Goiás,-17.44,-51.17,"-17.44,-51.17",gold,
Montividiu do Norte,"1,333",GO,Norte,Porangatu,-13.11,-48.6,"-13.11,-48.6",orange,
Morrinhos,"2,846",GO,Sul,Meia Ponte,-17.73,-49.1,"-17.73,-49.1",gold,
Morro Agudo de Goiás,283,GO,Centro,Ceres,-15.32,-50.05,"-15.32,-50.05",red,
Mossâmedes,684,GO,Centro,Anicuns,-16.12,-50.21,"-16.12,-50.21",red,
Mozarlândia,"1,734",GO,Noroeste,São Miguel do Araguaia,-14.74,-50.57,"-14.74,-50.57",blue,
Mundo Novo,"2,146",GO,Noroeste,São Miguel do Araguaia,-13.77,-50.28,"-13.77,-50.28",blue,
Mutunópolis,869,GO,Norte,Porangatu,-13.73,-49.27,"-13.73,-49.27",orange,
Nazário,300,GO,Centro,Anicuns,-16.58,-49.88,"-16.58,-49.88",red,
Nerópolis,204,GO,Centro,Goiânia,-16.4,-49.21,"-16.4,-49.21",red,
Niquelândia,"9,843",GO,Norte,Porangatu,-14.47,-48.46,"-14.47,-48.46",orange,
Nova América,212,GO,Centro,Ceres,-15.02,-49.89,"-15.02,-49.89",red,
Nova Aurora,303,GO,Sul,Catalão,-18.05,-48.25,"-18.05,-48.25",gold,
Nova Crixás,"7,299",GO,Noroeste,São Miguel do Araguaia,-14.09,-50.32,"-14.09,-50.32",blue,
Nova Glória,413,GO,Centro,Ceres,-15.14,-49.57,"-15.14,-49.57",red,
Nova Iguaçu de Goiás,628,GO,Norte,Porangatu,-14.28,-49.38,"-14.28,-49.38",orange,
Nova Roma,"2,136",GO,Norte,Chapada dos Veadeiros,-13.74,-46.88,"-13.74,-46.88",orange,
Nova Veneza,123,GO,Centro,Anápolis,-16.37,-49.32,"-16.37,-49.32",red,
Novo Brasil,650,GO,Centro,Iporá,-16.03,-50.71,"-16.03,-50.71",red,
Novo Gama,194,GO,Leste,Entorno do Distrito Federal,-16.05,-48.03,"-16.05,-48.03",purple,
Novo Planalto,"1,243",GO,Norte,São Miguel do Araguaia,-13.24,-49.5,"-13.24,-49.5",orange,
Orizona,"1,973",GO,Sul,Pires do Rio,-17.03,-48.29,"-17.03,-48.29",gold,
Ouro Verde de Goiás,210,GO,Centro,Anápolis,-16.22,-49.19,"-16.22,-49.19",red,
Ouvidor,414,GO,Sul,Catalão,-18.23,-47.83,"-18.23,-47.83",gold,
Padre Bernardo,"3,138",GO,Leste,Entorno do Distrito Federal,-15.16,-48.28,"-15.16,-48.28",purple,
Palestina de Goiás,"1,321",GO,Sul,Sudoeste de Goiás,-16.73,-51.53,"-16.73,-51.53",gold,
Palmeiras de Goiás,"1,540",GO,Sul,Vale do Rio dos Bois,-16.8,-49.92,"-16.8,-49.92",gold,
